[root@ztg 桌面]# sysctl net.mptcp.mptcp_enabled
net.mptcp.mptcp_enabled = 0
[root@ztg 桌面]# sysctl net.ipv4.tcp_congestion_control
net.ipv4.tcp_congestion_control = cubic
[root@ztg 桌面]# iperf3 -c 112.26.4.9 -f K -b 32K -n 2048KB
Connecting to host 112.26.4.9, port 5201
[  5] local 112.26.4.1 port 44430 connected to 112.26.4.9 port 5201
[  5]  60.00-61.00  sec  0.00 Bytes  0.00 KBytes/sec    0   24.0 KBytes       
[  5]  61.00-62.00  sec  0.00 Bytes  0.00 KBytes/sec    0   24.0 KBytes       
[  5]  62.00-63.00  sec  0.00 Bytes  0.00 KBytes/sec    0   24.0 KBytes       
[  5]  63.00-64.00  sec  0.00 Bytes  0.00 KBytes/sec    0   24.0 KBytes       
[  5]  64.00-65.00  sec  0.00 Bytes  0.00 KBytes/sec    0   24.0 KBytes       
[  5]  65.00-66.00  sec  0.00 Bytes  0.00 KBytes/sec    0   24.0 KBytes       
[  5]  66.00-67.00  sec  0.00 Bytes  0.00 KBytes/sec    0   24.0 KBytes       
[  5]  67.00-68.00  sec  0.00 Bytes  0.00 KBytes/sec    0   49.5 KBytes       
[  5]  68.00-69.00  sec  0.00 Bytes  0.00 KBytes/sec    0   52.3 KBytes       
[  5]  69.00-70.00  sec  0.00 Bytes  0.00 KBytes/sec    0   53.7 KBytes       
[  5]  70.00-71.00  sec  0.00 Bytes  0.00 KBytes/sec    0   55.1 KBytes       
[  5]  71.00-72.00  sec  0.00 Bytes  0.00 KBytes/sec    0   56.6 KBytes       
[  5]  72.00-73.00  sec  0.00 Bytes  0.00 KBytes/sec    0   69.3 KBytes       
[  5]  73.00-74.00  sec  0.00 Bytes  0.00 KBytes/sec    0   73.5 KBytes       
[  5]  74.00-75.00  sec  0.00 Bytes  0.00 KBytes/sec    0   76.4 KBytes       
[  5]  75.00-76.00  sec  0.00 Bytes  0.00 KBytes/sec    1   9.90 KBytes       
[  5]  76.00-77.00  sec  0.00 Bytes  0.00 KBytes/sec    2   11.3 KBytes       
